Ano,PAIS,TIPO_PLANTACAO,TEMPERATURA_MEDIA_C,TOTAL_PRECIPITACAO_MM,EMISSAO_CO2_MT,EVENTOS_TEMPERATURA_EXTREMA,ACESSO_IRRIGACAO_%,SAUDE_DO_SOLO,ESTRATEGIA_ADAPTACAO,IMPACTO_ECONOMICO_USD,NIVEL_CO2
2022,Canada,Cotton,23.8,965.1,22.88,9,80.18,81.3,Drought-resistant Crops,1537.91,MEDIO
1992,Canada,Coffee,28.44,2471.41,12.4,6,77.02,56.92,Crop Rotation,280.81,MEDIO
1990,India,Sugarcane,7.86,2139.98,6.07,0,29.71,95.16,Organic Farming,350.06,BAIXO
2001,Russia,Sugarcane,11.92,1331.47,22.48,2,48.58,83.39,Water Management,1238.45,MEDIO
2005,Canada,Coffee,27.01,2574.79,19.92,3,45.53,72.76,Crop Rotation,679.29,MEDIO
2023,Brazil,Soybeans,23.39,2969.11,28.44,4,87.02,65.22,No Adaptation,685.55,MEDIO
2018,Argentina,Fruits,-3.25,2724.46,20.98,4,87.28,96.26,No Adaptation,643.5,MEDIO
1995,Nigeria,Rice,21.92,2753.27,11.79,7,82.57,42.59,Organic Farming,1134.3,MEDIO
2017,USA,Wheat,26.76,2502.95,16.25,9,32.6,41.05,Water Management,901.37,MEDIO
2020,France,Rice,1.62,215.02,16.91,0,43.25,55.98,Water Management,247.39,MEDIO
2016,France,Barley,6.72,702.07,10.46,10,33.91,86.19,No Adaptation,770.41,MEDIO
1993,Russia,Cotton,-0.25,725.14,29.18,7,27.61,60.42,Organic Farming,263.87,MEDIO
2010,Argentina,Cotton,3.26,2144.75,11.07,9,88.33,72.13,Water Management,523.34,MEDIO
1999,Argentina,Rice,4.35,1671.94,22.55,2,12.98,91.49,Crop Rotation,667.21,MEDIO
1999,Brazil,Coffee,2.88,1422.72,25.57,10,71.13,59.47,Drought-resistant Crops,504.93,MEDIO
2020,Nigeria,Sugarcane,-0.06,508.71,26.42,9,32.45,37.47,Water Management,1159.37,MEDIO
1995,USA,Wheat,-4.21,200.46,22.21,0,55.78,31.44,No Adaptation,177.45,MEDIO
2017,Canada,Rice,25.36,2459.84,23.66,7,52.75,99.3,No Adaptation,637.32,MEDIO
2000,China,Sugarcane,34.01,946.98,28.49,8,26.12,58.43,Organic Farming,745.47,MEDIO
2017,Argentina,Barley,23.3,2274.62,5.55,10,95.64,67.68,No Adaptation,330.23,BAIXO
1997,Russia,Soybeans,4.63,2601.88,1.77,2,54.52,93.59,Organic Farming,224.49,BAIXO
1999,Nigeria,Soybeans,13.96,1942.2,18.21,1,48.27,42.54,Crop Rotation,1090.46,MEDIO
2023,USA,Rice,-0.55,2376.15,11.07,4,59.65,95.52,No Adaptation,688.38,MEDIO
1991,China,Wheat,28.56,239.37,19.02,1,77.98,77.31,Organic Farming,532.77,MEDIO
1996,China,Barley,23.42,270.84,15.98,9,45.53,57.74,Crop Rotation,513.95,MEDIO
2003,Canada,Sugarcane,31.89,1736.43,23.97,1,80.05,94.84,No Adaptation,1188.39,MEDIO
2022,Canada,Soybeans,30.99,1926.96,8.08,0,29.88,68.85,Water Management,384.94,BAIXO
2004,Argentina,Fruits,26.69,756.26,25.26,0,34.3,76.43,Crop Rotation,331.47,MEDIO
2002,USA,Cotton,28.74,2326.64,5.33,9,24.84,72.81,Water Management,467.04,BAIXO
2004,Nigeria,Corn,7.73,264.79,16.28,6,79.54,52.03,Organic Farming,349.46,MEDIO
2024,USA,Coffee,3.68,1213.3,14.49,7,45.12,56.62,No Adaptation,1039.1,MEDIO
2010,Argentina,Cotton,9.29,2829.04,15.71,6,38.05,63.27,Organic Farming,1138.86,MEDIO
1997,Russia,Rice,33.74,2706.28,15.86,2,68.84,59.7,Crop Rotation,594.08,MEDIO
2010,France,Soybeans,-0.43,1145.03,1.21,3,31.69,68.05,Crop Rotation,573.25,BAIXO
2004,China,Cotton,22.64,1281.46,14.86,7,62.34,67.88,No Adaptation,647.95,MEDIO
1993,Nigeria,Cotton,-0.72,773.77,9.86,10,61.49,66.51,Organic Farming,509.32,BAIXO
2004,Russia,Fruits,34.67,2320.63,27.52,4,65.33,90.01,Water Management,921.39,MEDIO
1998,USA,Coffee,27.82,362.14,12.4,4,40.62,46.28,Crop Rotation,1461.56,MEDIO
1996,Argentina,Soybeans,15.5,1622.84,19.93,2,63.21,83.42,Water Management,382.61,MEDIO
2001,Canada,Vegetables,1.85,505.43,4.23,10,85.94,87.33,Organic Farming,728.8,BAIXO
2022,Australia,Soybeans,-1.97,2947.47,13.36,5,91.18,84.83,Crop Rotation,1369.27,MEDIO
2023,Russia,Barley,26.75,1347.01,29.73,7,65.48,52.5,No Adaptation,724.34,MEDIO
2007,USA,Wheat,30.79,1341.53,6.27,0,11.58,63.98,Water Management,544.96,BAIXO
2019,Canada,Fruits,13.92,2761.04,16.97,3,21.63,61.69,No Adaptation,1777.06,MEDIO
2005,USA,Corn,4.52,2422.25,25.33,9,85.16,51.46,No Adaptation,802.42,MEDIO
2014,Australia,Barley,13.96,960.18,10.15,8,28.57,90.96,Organic Farming,345.33,MEDIO
1999,Brazil,Vegetables,7.5,1723.84,14.81,10,75.99,63.95,Crop Rotation,623.77,MEDIO
1998,USA,Coffee,0.15,2582.43,9.84,0,87.69,92.77,Water Management,98.22,BAIXO
1999,Russia,Fruits,4.76,477.32,20.4,6,85.81,34.35,Organic Farming,493.22,MEDIO
1990,France,Vegetables,22.88,1714.72,24.94,9,15.97,71.39,Drought-resistant Crops,585.32,MEDIO
2006,Canada,Vegetables,-4.98,1770.4,15.86,3,66.73,41.8,Crop Rotation,454.24,MEDIO
2014,France,Barley,32.3,819.6,27.39,1,95.81,36.24,Organic Farming,342.17,MEDIO
2014,India,Coffee,10.39,1321.22,7.48,6,25.43,63.84,Water Management,1505.38,BAIXO
1992,Australia,Cotton,31.96,284.8,0.94,4,26.63,30.45,Crop Rotation,840.13,BAIXO
2007,Canada,Sugarcane,26.67,1069.96,20.76,0,44.07,41.74,Crop Rotation,761.56,MEDIO
1991,India,Corn,30.21,1962.73,1.37,1,40.04,51.29,Drought-resistant Crops,678.75,BAIXO
2022,Argentina,Fruits,8.07,398.24,28.46,0,83.47,85.0,No Adaptation,1011.8,MEDIO
1996,Brazil,Barley,29.5,2548.29,19.71,6,85.88,34.09,No Adaptation,895.21,MEDIO
2023,Canada,Corn,7.86,335.88,1.41,6,93.2,90.98,Drought-resistant Crops,194.83,BAIXO
2018,USA,Coffee,34.08,1072.15,18.39,3,69.96,94.96,Organic Farming,710.12,MEDIO
1996,USA,Barley,6.66,2162.54,0.93,9,32.9,86.83,Drought-resistant Crops,642.28,BAIXO
1998,Australia,Vegetables,23.25,581.89,28.43,7,55.13,73.12,Drought-resistant Crops,579.23,MEDIO
2021,Australia,Fruits,0.44,2586.04,20.19,2,43.07,53.13,Drought-resistant Crops,247.71,MEDIO
2000,India,Barley,-3.32,2642.21,22.59,2,17.1,92.19,Drought-resistant Crops,311.47,MEDIO
2012,Australia,Soybeans,5.88,2833.0,1.91,1,81.29,40.99,Crop Rotation,621.22,BAIXO
1997,Australia,Coffee,2.9,1384.72,13.56,2,72.3,80.2,Organic Farming,244.88,MEDIO
2009,Argentina,Vegetables,15.62,370.08,17.23,5,13.09,65.36,Drought-resistant Crops,484.83,MEDIO
2009,Nigeria,Sugarcane,27.16,1873.6,21.33,1,41.78,83.17,No Adaptation,356.73,MEDIO
2021,USA,Corn,1.13,1255.73,24.68,5,94.67,57.86,Drought-resistant Crops,821.18,MEDIO
2017,Nigeria,Fruits,31.29,249.08,12.06,4,94.58,64.02,Drought-resistant Crops,301.24,MEDIO
2008,Russia,Soybeans,18.04,2780.07,19.37,7,65.99,45.45,Crop Rotation,738.58,MEDIO
2016,China,Barley,15.87,1096.44,3.93,6,56.58,82.73,No Adaptation,1459.9,BAIXO
1992,Russia,Fruits,29.07,651.88,21.89,9,70.98,49.29,Water Management,717.74,MEDIO
1993,Brazil,Sugarcane,23.44,1505.05,5.27,1,22.76,58.43,Drought-resistant Crops,604.45,BAIXO
2024,Australia,Corn,24.79,730.24,24.35,1,11.49,61.82,Drought-resistant Crops,677.23,MEDIO
1996,Argentina,Coffee,27.34,1684.43,8.1,10,18.43,84.57,Organic Farming,555.45,BAIXO
2016,India,Vegetables,28.58,2378.03,7.64,5,90.42,37.5,Drought-resistant Crops,304.07,BAIXO
2016,India,Fruits,33.05,1498.73,22.73,3,95.07,88.53,Organic Farming,813.03,MEDIO
2021,USA,Fruits,17.38,2855.34,1.37,0,16.48,41.83,Crop Rotation,289.98,BAIXO
2017,China,Coffee,14.31,920.48,13.8,1,90.74,65.6,No Adaptation,619.19,MEDIO
1999,Nigeria,Vegetables,-1.52,1575.93,4.03,6,86.0,50.76,Drought-resistant Crops,160.19,BAIXO
1991,Australia,Sugarcane,15.11,524.38,10.37,1,36.11,92.29,Organic Farming,1035.66,MEDIO
2006,China,Barley,28.3,631.37,0.51,10,12.39,70.14,Organic Farming,224.53,BAIXO
1991,Brazil,Soybeans,21.3,2604.59,28.07,6,68.22,53.85,No Adaptation,782.85,MEDIO
2020,USA,Barley,5.99,1934.26,24.5,7,64.37,99.35,Drought-resistant Crops,700.92,MEDIO
2000,Australia,Soybeans,14.51,672.06,11.96,4,42.33,82.63,Organic Farming,1568.58,MEDIO
1994,Nigeria,Cotton,13.68,622.38,13.77,5,61.03,46.84,Organic Farming,419.76,MEDIO
2005,France,Sugarcane,0.75,2714.94,3.71,4,87.73,76.67,Water Management,119.92,BAIXO
2017,USA,Fruits,12.5,982.91,5.61,4,10.18,79.19,Crop Rotation,696.47,BAIXO
1991,Argentina,Cotton,-3.32,730.62,14.72,5,73.67,47.46,No Adaptation,608.83,MEDIO
2014,China,Barley,2.92,1262.96,1.0,8,16.89,43.56,No Adaptation,750.4,BAIXO
2024,USA,Rice,17.96,768.86,28.16,6,69.46,34.4,Drought-resistant Crops,576.13,MEDIO
2019,China,Rice,0.25,2595.37,27.71,8,75.98,37.48,Crop Rotation,449.71,MEDIO
1997,USA,Cotton,2.2,2951.65,7.24,6,77.61,90.68,No Adaptation,443.45,BAIXO
2018,USA,Soybeans,-4.07,2248.57,9.1,2,59.08,91.48,No Adaptation,424.54,BAIXO
2023,Canada,Coffee,10.0,950.43,12.82,4,62.2,34.99,Organic Farming,745.4,MEDIO
2023,Brazil,Barley,7.25,1135.22,7.75,7,30.22,66.56,Crop Rotation,902.35,BAIXO
2004,India,Rice,4.48,2624.98,13.84,6,16.63,41.17,No Adaptation,650.94,MEDIO
2000,Brazil,Vegetables,13.83,2310.33,2.13,4,96.22,68.99,Drought-resistant Crops,504.01,BAIXO
2001,Australia,Corn,8.81,307.99,13.92,2,98.08,97.13,Drought-resistant Crops,422.66,MEDIO
2007,France,Fruits,33.98,1871.36,24.51,3,80.12,64.76,Crop Rotation,641.67,MEDIO
1996,Argentina,Fruits,13.9,2299.11,6.22,4,70.35,95.59,Organic Farming,1943.93,BAIXO
2016,India,Corn,6.21,1738.51,12.74,8,83.82,83.02,Organic Farming,250.63,MEDIO
2002,Australia,Cotton,-1.08,2987.89,2.76,0,70.68,48.07,Drought-resistant Crops,423.59,BAIXO
2006,Canada,Rice,20.38,1180.33,1.55,0,98.55,45.02,Crop Rotation,311.0,BAIXO
2015,Nigeria,Soybeans,0.56,271.92,20.63,3,47.63,31.45,Drought-resistant Crops,181.41,MEDIO
2020,India,Corn,14.99,2294.61,5.2,3,43.13,58.22,Water Management,629.86,BAIXO
2013,Russia,Sugarcane,-4.97,213.17,25.42,9,77.26,90.59,No Adaptation,219.85,MEDIO
2019,Russia,Vegetables,11.93,2798.36,6.72,7,15.4,45.28,Organic Farming,537.57,BAIXO
2006,France,Barley,8.31,915.04,23.88,3,87.89,64.39,Drought-resistant Crops,615.96,MEDIO
1993,Argentina,Vegetables,11.71,2370.48,28.48,4,37.47,94.93,Water Management,1625.25,MEDIO
2019,Brazil,Barley,24.92,2056.55,26.63,0,43.14,95.44,Drought-resistant Crops,256.73,MEDIO
2023,Russia,Corn,13.01,2524.01,4.33,4,35.48,36.79,No Adaptation,1293.23,BAIXO
1994,Nigeria,Rice,-3.45,2627.47,12.27,1,55.12,74.85,Crop Rotation,490.28,MEDIO
2021,Australia,Vegetables,-0.77,2544.44,12.6,7,80.16,88.65,Organic Farming,360.09,MEDIO
2019,Canada,Fruits,11.68,1213.82,11.88,2,39.64,36.26,Organic Farming,305.63,MEDIO
2015,Brazil,Fruits,18.75,2197.59,18.45,8,80.31,84.87,Organic Farming,667.08,MEDIO
2006,Canada,Rice,-4.02,2508.82,14.69,8,26.56,30.02,Water Management,437.59,MEDIO
2018,China,Soybeans,15.52,2360.3,20.06,1,50.35,64.65,Organic Farming,944.24,MEDIO
2012,USA,Sugarcane,13.0,2710.72,16.16,10,42.37,71.58,Organic Farming,327.33,MEDIO
2002,Russia,Barley,6.53,1764.29,9.52,6,59.38,58.09,Water Management,474.94,BAIXO
2006,France,Wheat,13.11,477.04,12.87,8,58.18,52.78,Crop Rotation,367.6,MEDIO
2012,China,Fruits,26.12,753.66,15.24,3,35.5,37.25,Drought-resistant Crops,644.91,MEDIO
2011,France,Soybeans,7.03,433.37,16.68,0,15.56,88.89,Drought-resistant Crops,563.65,MEDIO
2011,Brazil,Soybeans,8.24,879.86,11.08,4,89.78,94.39,No Adaptation,760.21,MEDIO
1993,Canada,Sugarcane,28.37,2349.11,0.59,7,14.36,73.58,Water Management,1358.48,BAIXO
2010,Canada,Fruits,1.1,1273.08,3.24,7,46.04,39.24,Organic Farming,242.06,BAIXO
1999,Canada,Corn,18.69,2746.04,25.8,8,67.5,49.91,Water Management,541.8,MEDIO
1994,Argentina,Corn,5.14,2362.11,28.14,3,55.8,79.85,Water Management,285.83,MEDIO
2023,Australia,Vegetables,15.56,1135.78,18.89,4,23.33,97.0,Water Management,1494.03,MEDIO
2008,Australia,Sugarcane,-4.36,786.79,15.41,1,59.05,51.59,Water Management,922.88,MEDIO
2007,India,Cotton,19.88,2648.05,2.6,9,33.51,31.61,Crop Rotation,644.17,BAIXO
2003,China,Rice,12.38,2847.74,5.7,10,98.43,56.4,No Adaptation,1192.66,BAIXO
2002,Brazil,Soybeans,7.36,2413.72,2.31,3,82.48,42.44,Crop Rotation,776.41,BAIXO
2012,India,Cotton,17.57,1678.27,20.93,7,86.25,57.2,No Adaptation,919.61,MEDIO
2001,USA,Coffee,11.17,882.69,6.33,5,71.67,80.43,Crop Rotation,350.11,BAIXO
2004,India,Rice,33.3,1738.18,0.74,2,86.93,57.01,Drought-resistant Crops,622.57,BAIXO
1996,China,Vegetables,-2.77,740.87,1.9,3,63.68,96.31,Drought-resistant Crops,573.87,BAIXO
2012,Brazil,Wheat,17.44,639.86,27.2,2,49.3,63.22,Crop Rotation,403.76,MEDIO
2016,USA,Cotton,0.95,1896.92,27.49,10,93.17,89.5,Crop Rotation,783.87,MEDIO
2007,Australia,Cotton,10.05,259.51,28.52,4,20.14,87.97,No Adaptation,1563.62,MEDIO
2020,USA,Soybeans,19.5,2897.95,5.55,7,60.99,40.95,Crop Rotation,686.4,BAIXO
2011,Argentina,Wheat,17.14,2018.8,24.91,5,72.52,44.62,Water Management,744.16,MEDIO
1994,France,Wheat,34.16,918.95,27.68,6,26.41,31.38,Drought-resistant Crops,1464.74,MEDIO
2006,India,Rice,27.43,2514.62,2.73,1,45.54,52.99,No Adaptation,394.76,BAIXO
2003,Argentina,Vegetables,19.64,1114.58,9.36,1,44.43,71.4,Drought-resistant Crops,1205.35,BAIXO
2017,Australia,Cotton,19.9,2088.99,21.85,10,30.74,77.6,Crop Rotation,1325.39,MEDIO
2020,USA,Wheat,29.42,1357.44,28.11,10,82.21,99.01,Crop Rotation,124.19,MEDIO
1991,China,Coffee,19.17,1668.53,3.32,6,10.89,97.04,Crop Rotation,1424.98,BAIXO
2014,Argentina,Fruits,-1.83,512.31,24.15,4,56.76,89.52,Water Management,431.97,MEDIO
1995,China,Wheat,17.2,602.49,24.38,9,53.43,94.43,Crop Rotation,688.93,MEDIO
1996,France,Fruits,32.29,718.47,2.46,1,46.02,58.7,Organic Farming,1288.35,BAIXO
2015,Russia,Fruits,15.93,768.91,21.25,3,49.36,83.89,No Adaptation,559.42,MEDIO
2010,India,Vegetables,-1.89,1277.36,12.28,4,17.95,39.2,No Adaptation,871.47,MEDIO
1997,Nigeria,Cotton,27.3,1906.36,0.95,9,66.99,88.13,Crop Rotation,393.41,BAIXO
2004,Argentina,Wheat,10.4,1022.19,28.52,9,73.33,69.86,Crop Rotation,1133.12,MEDIO
2004,Argentina,Fruits,21.03,2019.86,13.78,3,18.41,78.76,Crop Rotation,174.23,MEDIO
2004,France,Wheat,34.22,2027.51,1.79,4,59.49,79.6,Drought-resistant Crops,1496.01,BAIXO
2002,USA,Vegetables,29.82,2583.33,20.16,8,25.39,78.93,Drought-resistant Crops,286.95,MEDIO
2023,USA,Corn,3.97,2665.76,18.69,8,61.92,43.65,Crop Rotation,643.72,MEDIO
2010,India,Sugarcane,10.75,2076.7,27.29,1,10.9,52.07,No Adaptation,741.66,MEDIO
1992,Australia,Rice,27.89,1173.58,29.64,1,57.86,65.2,Water Management,718.18,MEDIO
1994,Nigeria,Coffee,8.9,1414.18,16.42,7,46.89,95.23,Drought-resistant Crops,382.82,MEDIO
1995,USA,Coffee,0.37,2503.5,17.05,1,74.72,65.21,Crop Rotation,722.87,MEDIO
2008,Russia,Rice,23.75,668.2,12.77,10,35.05,63.14,No Adaptation,538.31,MEDIO
1996,Australia,Soybeans,-1.52,1562.89,11.19,6,13.21,72.74,No Adaptation,576.32,MEDIO
2016,Argentina,Vegetables,14.03,2779.99,18.14,2,48.45,53.34,No Adaptation,401.25,MEDIO
2011,USA,Rice,21.34,2406.25,16.4,1,34.4,55.01,Drought-resistant Crops,1392.92,MEDIO
2021,India,Sugarcane,21.56,695.52,7.32,3,47.44,42.63,Water Management,498.34,BAIXO
2015,India,Wheat,2.79,1011.53,20.42,8,85.98,55.09,Drought-resistant Crops,917.95,MEDIO
2003,France,Rice,34.34,1381.31,17.22,2,83.22,33.93,Crop Rotation,1364.94,MEDIO
2019,Canada,Cotton,17.72,1163.14,28.62,10,33.61,78.69,Drought-resistant Crops,257.71,MEDIO
2004,Russia,Soybeans,33.19,432.39,11.81,1,20.03,41.24,Water Management,342.58,MEDIO
2017,Brazil,Wheat,23.2,1224.5,7.32,0,15.36,99.66,Organic Farming,745.08,BAIXO
2002,India,Vegetables,34.55,2220.08,8.55,3,48.2,71.73,Organic Farming,436.68,BAIXO
1990,Canada,Corn,24.67,2173.26,9.9,5,64.72,82.39,Drought-resistant Crops,536.59,BAIXO
2000,Nigeria,Corn,22.35,627.06,18.62,1,40.61,30.43,No Adaptation,428.0,MEDIO
2012,Australia,Fruits,19.56,1753.69,16.88,6,97.33,87.41,No Adaptation,1234.09,MEDIO
2005,Canada,Soybeans,14.68,537.64,1.7,3,96.5,96.97,Organic Farming,1013.9,BAIXO
2006,France,Soybeans,-4.53,784.68,26.88,0,62.78,85.44,No Adaptation,368.8,MEDIO
2017,Australia,Corn,8.36,1907.74,18.94,1,70.61,46.83,Crop Rotation,958.09,MEDIO
2016,Russia,Soybeans,22.38,863.1,14.0,8,24.63,74.99,Water Management,521.1,MEDIO
1992,Nigeria,Sugarcane,13.02,2067.98,20.26,8,63.9,53.07,Crop Rotation,462.61,MEDIO
2013,China,Sugarcane,15.35,1738.17,18.99,8,40.82,72.76,No Adaptation,184.61,MEDIO
2013,Argentina,Barley,16.01,949.42,20.85,9,74.01,34.63,Crop Rotation,643.72,MEDIO
2013,Brazil,Barley,-0.61,810.72,16.92,8,98.51,90.15,Crop Rotation,425.22,MEDIO
1998,USA,Sugarcane,17.59,640.55,26.79,3,97.3,73.48,Crop Rotation,772.22,MEDIO
2006,Australia,Coffee,-3.45,2204.84,18.59,6,63.78,48.17,Water Management,652.82,MEDIO
2014,Nigeria,Corn,-0.54,722.73,1.74,6,43.89,95.4,No Adaptation,447.15,BAIXO
1996,Russia,Soybeans,-0.66,2410.48,3.7,4,95.77,52.16,Organic Farming,475.61,BAIXO
2002,Brazil,Barley,14.14,1875.08,6.88,2,37.99,42.57,Crop Rotation,841.24,BAIXO
2024,Brazil,Barley,32.66,1598.5,8.5,6,86.6,98.36,No Adaptation,1106.25,BAIXO
2021,China,Fruits,28.05,1394.39,21.12,9,48.52,65.51,Organic Farming,671.59,MEDIO
2004,Australia,Coffee,2.07,840.38,27.0,7,44.15,96.7,No Adaptation,277.91,MEDIO
2005,USA,Vegetables,34.3,1637.67,20.32,9,53.48,78.64,Crop Rotation,636.1,MEDIO
2005,China,Coffee,-2.55,1569.57,22.09,0,10.01,45.54,Water Management,141.34,MEDIO
1991,India,Soybeans,-4.51,1667.68,16.55,6,79.51,70.68,Drought-resistant Crops,422.35,MEDIO
1998,USA,Barley,11.23,384.96,23.28,1,59.39,33.51,Drought-resistant Crops,1387.05,MEDIO
2012,India,Soybeans,2.41,1909.15,24.89,10,82.92,95.44,No Adaptation,380.76,MEDIO
2003,Nigeria,Corn,18.64,736.51,2.72,7,26.43,80.97,Crop Rotation,482.52,BAIXO
1995,Nigeria,Rice,5.98,2094.03,12.94,0,49.75,36.33,Crop Rotation,639.72,MEDIO
2001,Nigeria,Cotton,4.05,2226.59,2.59,6,24.86,86.59,Crop Rotation,511.89,BAIXO
2016,Nigeria,Rice,10.19,2591.27,14.31,6,52.47,99.69,Crop Rotation,484.14,MEDIO
2018,Canada,Barley,20.35,1016.77,20.18,8,27.02,95.81,Water Management,504.37,MEDIO
2014,Brazil,Coffee,-3.78,1056.81,20.95,4,37.88,60.24,Organic Farming,197.3,MEDIO
2008,India,Soybeans,23.69,859.5,5.34,2,89.67,62.28,Crop Rotation,789.47,BAIXO
2005,Brazil,Barley,4.49,1331.13,29.41,8,97.56,67.03,Crop Rotation,1133.23,MEDIO
2015,India,Sugarcane,34.87,2553.85,4.56,2,11.97,58.03,Drought-resistant Crops,1410.49,BAIXO
2005,Nigeria,Cotton,2.83,2513.45,22.79,5,85.77,85.96,Organic Farming,212.9,MEDIO
2021,India,Corn,14.83,2608.49,24.95,9,17.66,61.2,No Adaptation,676.55,MEDIO
2024,Argentina,Rice,31.89,2997.84,21.06,4,56.38,41.36,Organic Farming,427.67,MEDIO
2005,Nigeria,Vegetables,3.36,1381.96,27.67,9,27.98,54.03,Organic Farming,501.64,MEDIO
2006,Russia,Fruits,-1.31,819.73,1.88,3,78.14,88.51,Drought-resistant Crops,1192.44,BAIXO
2016,Canada,Sugarcane,15.81,2120.61,28.4,1,14.91,46.74,No Adaptation,266.88,MEDIO
1998,Nigeria,Vegetables,14.64,1045.3,11.45,7,39.74,93.92,Water Management,1015.44,MEDIO
2020,USA,Cotton,10.83,1492.96,13.01,0,77.21,52.43,No Adaptation,292.29,MEDIO
2005,India,Soybeans,-1.02,2342.85,13.32,6,90.26,53.1,Water Management,630.64,MEDIO
2015,Russia,Fruits,-3.65,2426.31,27.02,5,67.4,84.11,Crop Rotation,466.72,MEDIO
2012,India,Sugarcane,27.79,218.65,4.9,3,30.38,40.93,Crop Rotation,573.3,BAIXO
2004,Russia,Rice,8.25,2705.15,28.03,3,59.83,43.36,Organic Farming,327.83,MEDIO
2001,USA,Vegetables,30.87,1858.39,18.48,5,90.7,82.04,Drought-resistant Crops,414.65,MEDIO
2007,Argentina,Soybeans,9.44,1462.56,28.99,9,60.31,39.68,No Adaptation,806.52,MEDIO
1995,Brazil,Rice,17.69,1349.06,16.71,3,32.01,58.22,Water Management,590.99,MEDIO
2023,USA,Vegetables,18.17,634.02,3.4,5,11.95,97.13,Water Management,1027.64,BAIXO
2003,China,Fruits,16.16,1766.97,20.24,4,96.65,73.97,No Adaptation,1354.46,MEDIO
1995,USA,Rice,11.38,590.33,8.81,9,31.12,37.27,Water Management,863.55,BAIXO
2019,Nigeria,Sugarcane,29.77,2127.32,22.27,9,49.33,60.55,Crop Rotation,1159.13,MEDIO
1990,Australia,Sugarcane,26.65,1047.96,23.75,2,81.07,85.93,Drought-resistant Crops,1517.92,MEDIO
1990,Australia,Corn,-3.31,229.38,11.21,6,71.68,77.84,Water Management,216.92,MEDIO
1996,USA,Barley,33.84,377.84,6.57,8,98.01,72.56,Water Management,660.87,BAIXO
2021,China,Coffee,4.68,2223.32,9.49,9,90.61,77.39,Crop Rotation,503.71,BAIXO
2003,France,Coffee,-3.3,2527.07,28.55,8,30.24,31.85,Organic Farming,770.73,MEDIO
2010,USA,Fruits,15.09,1014.55,16.0,1,24.35,51.63,Water Management,771.16,MEDIO
2024,Canada,Barley,25.92,1414.72,13.33,1,32.69,37.36,Organic Farming,868.95,MEDIO
2023,France,Wheat,12.34,1786.63,10.87,1,41.13,87.05,Water Management,1289.27,MEDIO
2010,France,Barley,-2.87,1374.08,2.29,9,47.8,37.3,Water Management,302.0,BAIXO
2023,USA,Coffee,8.83,949.48,4.12,7,45.21,85.19,Drought-resistant Crops,361.29,BAIXO
2010,Brazil,Fruits,23.06,2918.01,15.2,3,87.07,54.39,No Adaptation,1073.48,MEDIO
2011,Nigeria,Barley,27.28,1776.79,10.12,0,10.26,48.89,Organic Farming,309.68,MEDIO
1996,India,Soybeans,34.72,1934.64,0.65,2,61.75,83.97,Water Management,995.94,BAIXO
2006,France,Coffee,17.38,2429.02,29.41,10,87.67,60.37,Organic Farming,525.58,MEDIO
2000,Argentina,Cotton,3.34,671.61,16.21,7,51.64,65.22,Organic Farming,498.08,MEDIO
1991,Nigeria,Cotton,30.18,2290.48,9.82,7,30.63,86.48,Drought-resistant Crops,258.13,BAIXO
2022,Brazil,Wheat,23.5,806.4,18.93,6,64.17,51.1,Water Management,1697.62,MEDIO
2015,Nigeria,Coffee,12.62,748.73,6.36,5,37.16,44.3,Organic Farming,1867.84,BAIXO
2021,USA,Corn,12.98,2859.43,18.35,7,15.44,44.39,Organic Farming,922.96,MEDIO
1999,Russia,Coffee,4.11,2093.25,7.04,0,49.42,87.41,Crop Rotation,521.85,BAIXO
2023,India,Soybeans,13.12,464.9,14.31,9,46.12,65.67,Crop Rotation,984.62,MEDIO
2015,France,Barley,33.06,2868.32,11.34,3,21.37,32.45,Drought-resistant Crops,240.51,MEDIO
2024,Brazil,Cotton,32.6,762.38,12.72,9,44.18,64.71,Organic Farming,1197.89,MEDIO
2003,USA,Corn,17.65,2149.3,4.4,3,30.61,93.23,No Adaptation,743.74,BAIXO
2009,France,Rice,8.55,847.85,12.46,3,20.03,79.21,Water Management,163.92,MEDIO
1999,Nigeria,Wheat,-0.4,2611.82,5.78,9,73.08,95.71,No Adaptation,703.99,BAIXO
2009,Russia,Rice,11.29,1904.4,20.15,0,82.52,98.88,Crop Rotation,161.61,MEDIO
2023,India,Fruits,18.92,707.61,27.77,3,43.88,33.81,No Adaptation,1995.21,MEDIO
1994,France,Corn,30.2,2559.52,1.71,1,34.76,32.15,Water Management,412.09,BAIXO
1990,Canada,Wheat,26.84,2899.87,24.74,0,79.85,47.49,Organic Farming,1138.38,MEDIO
2018,USA,Corn,31.47,2703.79,12.98,0,82.21,70.75,Drought-resistant Crops,729.47,MEDIO
2010,USA,Cotton,-2.08,1634.98,29.36,5,87.63,31.48,Crop Rotation,447.93,MEDIO
2010,USA,Vegetables,23.79,2501.13,15.7,0,48.26,51.81,Organic Farming,856.23,MEDIO
2021,USA,Rice,30.06,2722.47,9.92,9,88.77,54.96,No Adaptation,466.42,BAIXO
1992,Nigeria,Rice,15.53,2254.67,10.83,7,97.72,67.12,Organic Farming,1058.09,MEDIO
2019,USA,Soybeans,0.98,1722.31,11.14,3,96.93,86.27,Drought-resistant Crops,477.35,MEDIO
